Fecha,DolarToday,Dolar
40911,9.29,9.29E-05
40912,9.17,9.17E-05
40913,9.21,9.21E-05
40914,9.18,9.18E-05
40915,9.18,9.18E-05
40916,9.19,9.19E-05
40917,9.15,9.15E-05
40918,9.15,9.15E-05
40919,9.11,9.11E-05
40920,8.99,8.99E-05
40921,8.98,8.98E-05
40922,8.99,8.99E-05
40923,8.98,8.98E-05
40924,8.96,8.96E-05
40925,8.97,8.97E-05
40926,8.81,8.81E-05
40927,8.82,8.82E-05
40928,8.82,8.82E-05
40929,8.82,8.82E-05
40930,8.82,8.82E-05
40931,8.67,8.67E-05
40932,8.72,8.72E-05
40933,8.71,8.71E-05
40934,8.71,8.71E-05
40935,8.69,8.69E-05
40936,8.69,8.69E-05
40937,8.68,8.68E-05
40938,8.77,8.77E-05
40939,8.77,8.77E-05
40940,8.68,8.68E-05
40941,8.68,8.68E-05
40942,8.68,8.68E-05
40943,8.68,8.68E-05
40944,8.65,8.65E-05
40945,8.65,8.65E-05
40946,8.61,8.61E-05
40947,8.59,8.59E-05
40948,8.58,8.58E-05
40949,8.63,8.63E-05
40950,8.63,8.63E-05
40951,8.63,8.63E-05
40952,9.02,9.02E-05
40953,9.02,9.02E-05
40954,8.92,8.92E-05
40955,8.81,8.81E-05
40956,8.81,8.81E-05
40957,8.81,8.81E-05
40958,8.94,8.94E-05
40959,8.97,8.97E-05
40960,8.92,8.92E-05
40961,9.01,9.01E-05
40962,8.97,8.97E-05
40963,8.97,8.97E-05
40965,8.98,8.98E-05
40966,8.96,8.96E-05
40967,8.95,8.95E-05
40968,8.91,8.91E-05
40969,8.94,8.94E-05
40970,8.94,8.94E-05
40971,8.94,8.94E-05
40972,8.96,8.96E-05
40973,9.34,9.34E-05
40974,9.36,9.36E-05
40975,9.58,9.58E-05
40976,9.58,9.58E-05
40978,9.58,9.58E-05
40979,9.58,9.58E-05
40980,9.56,9.56E-05
40982,9.47,9.47E-05
40983,9.63,9.63E-05
40984,9.63,9.63E-05
40985,9.63,9.63E-05
40986,9.51,9.51E-05
40987,9.52,9.52E-05
40988,9.35,9.35E-05
40989,9.34,9.34E-05
40990,9.34,9.34E-05
40991,9.34,9.34E-05
40992,9.34,9.34E-05
40993,9.32,9.32E-05
40994,9.31,9.31E-05
40995,9.32,9.32E-05
40996,9.38,9.38E-05
40997,9.38,9.38E-05
40998,9.38,9.38E-05
40999,9.38,9.38E-05
41000,9.38,9.38E-05
41001,9.38,9.38E-05
41002,9.36,9.36E-05
41003,9.36,9.36E-05
41004,9.4,9.4E-05
41005,9.4,9.4E-05
41006,9.4,9.4E-05
41007,9.4,9.4E-05
41008,9.39,9.39E-05
41009,9.4,9.4E-05
41010,9.4,9.4E-05
41011,9.35,9.35E-05
41012,9.35,9.35E-05
41013,9.39,9.39E-05
41014,9.35,9.35E-05
41015,9.35,9.35E-05
41017,9.37,9.37E-05
41018,9.39,9.39E-05
41019,9.36,9.36E-05
41020,9.36,9.36E-05
41021,9.31,9.31E-05
41022,9.35,9.35E-05
41023,9.31,9.31E-05
41024,9.31,9.31E-05
41025,9.27,9.27E-05
41028,9.25,9.25E-05
41029,9.28,9.28E-05
41030,9.28,9.28E-05
41031,9.24,9.24E-05
41032,9.23,9.23E-05
41033,9.23,9.23E-05
41034,9.23,9.23E-05
41035,9.2,9.2E-05
41036,9.24,9.24E-05
41037,9.3,9.3E-05
41038,9.32,9.32E-05
41039,9.29,9.29E-05
41040,9.29,9.29E-05
41041,9.29,9.29E-05
41042,9.29,9.29E-05
41043,9.32,9.32E-05
41044,9.29,9.29E-05
41045,9.43,9.43E-05
41046,9.47,9.47E-05
41047,9.47,9.47E-05
41048,9.47,9.47E-05
41049,9.53,9.53E-05
41050,9.63,9.63E-05
41051,9.61,9.61E-05
41052,9.61,9.61E-05
41053,9.69,9.69E-05
41054,9.69,9.69E-05
41055,9.69,9.69E-05
41056,9.7,9.7E-05
41057,9.7,9.7E-05
41058,9.52,9.52E-05
41059,9.61,9.61E-05
41060,9.56,9.56E-05
41061,9.64,9.64E-05
41062,9.64,9.64E-05
41063,9.62,9.62E-05
41064,9.56,9.56E-05
41065,9.43,9.43E-05
41066,9.41,9.41E-05
41067,9.39,9.39E-05
41068,9.34,9.34E-05
41069,9.34,9.34E-05
41070,9.34,9.34E-05
41071,9.34,9.34E-05
41072,9.34,9.34E-05
41073,9.39,9.39E-05
41074,9.4,9.4E-05
